id,sender,subject,snippet,category,disposition
19b98c50e9ff0674,Bose <email@email.bose.com>,A new update from Bose about your SoundTouch product.,We&#39;ve been listening &amp; have new info to help you continue enjoying your music &amp; content. ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌,newsletters,remove
19b7687a2ab28573,merkaz.hagaz@gas-invoice.com,GAZ INVOICE 11-12/2025 חשבונית גז,117479,finance,keep
19b73f68d76842e2,Narakeet <contact@narakeet.com>,Welcome to Narakeet,"Thanks for trying out Narakeet. We&#39;ve pulled together some information and resources to help you get started. Narakeet Welcome, Avi Levi! Thanks for trying Narakeet. We&#39;re thrilled to have you",newsletters,remove
19b6fffffab8ef11,Airalo <noreply@airalo.com>,⏳Your package expires in 1 day(s),"Your eSIM expires in 1 day(s) Hi Avi, Your Meraki Mobile eSIM is about to expire. Not to worry – topping up is easy! Simply purchase a top-up package to stay connected. Top up your eSIM package www.",notifications,remove
19b6e4bb4df82263,no_reply <no_reply@fedex.com>,HK- מספר  397126267547 מ FEDEX משלוח,"שלום AVI LEVI, משלוח FedEx מ-HK אשר מספרו 397126267547 נשלח עבורך לישראל ויופץ אליך עם הגעתו לאחר סיום הליך השחרור ממכס ובטחון. לנוחיותך, ניתן לבחור באיסוף עצמי מנקודת חלוקה על ידי לחיצה על הקישור",receipts,keep
19b672bdc1ec3569,HOT <service@hot-info.net.il>,פירוט החשבון החודשי שלך,This message (including any attachments) is intended only for the use of the individual or entity to which it is addressed and may contain materials protected by copyright or information that is non-,finance,keep
19b64730eb4e4849,"""ישראייר שירות עצמי"" <DonotReplay@israir.co.il>", ישראייר – פעולות אשר בוצעו על ידי הלקוח/ה - אישור הזמנה:  מס מעקב: 7451072  ,"MY ISRAIR ישראייר – פעולות אשר בוצעו על ידי הלקוח/ה - אישור הזמנה: מס מעקב: 7451072 אישור הזמנת שירותים נלווים תודה שבחרת ישראייר הזמנה מס&#39; 4318539 תאריך 28/12/2025 2 2 מבוגרים ,לכבוד AVI LEVI *",receipts,keep
19b59dadff25f445,"""TAP | Booking Engine"" <ticketsales@tap.gr>",TAP e-ticket - Reference Number: FDE9E44CBE (bank reference: FDE9E44CC2),Your e-tickets/voucher is attached,receipts,keep
19b59dac3c8e9d4d,no-reply@nbgpay.com,Received order FDE9E44CC2,Thank you for your purchase! We have received your order: Order Date: 26 December 2025 10:51:04 am EET Order ID: FDE9E44CC2 Order Amount: 60.00 EUR Payment Method: Card - MasterCard Order Description:,travel,keep
19b4b7e4643a5f2f,Issta Service <DoNotReply@issta.co.il>,מסמכי הנסיעה שלך מאיסתא - 4318539,"היי LEVI AVI איזה כיף! הטיסה שלך ב-24.12.2025 מתקרבת. מצורפים למייל זה מסמכי הנסיעה שלך. אנחנו כאן בשבילך, לא רק לפני הטיסה, אלא גם במהלך החופשה לכל שאלה או התייעצות פנו אלינו בוואטסאפ מאחלים לך טיסה",receipts,keep
19b474cd71446ebd,Renaissance Hotels Reservations <reservations@res-marriott.com>,Reservation Confirmation #98615694 for Renaissance Tel Aviv Hotel,‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ,travel,keep
19b2a9502623eceb,"""Nova-fertility.com"" <nova-fertility-com@smtp-gateway.io>",[Fireberry Order Error] Order #25143 failed to create in Fireberry,Fireberry Order Creation Failed Order ID: 25143 Date: 2025-12-17 04:32:42 Order creation failed in Fireberry after 2 attempts. Quick Action Click the button below to review and resend this order:,work,keep
19b0df075f873cc9,Peak Design <info@peakdesign.com>,The FOHMBF Sale,"10% off, starting right now. If you missed Black Friday, this is your redemption. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ",newsletters,remove
19af9c99dedb4035,Perplexity <team@mail.perplexity.ai>,Still haven't tried Comet Android?,Browse smarter. Get answers faster. Your AI assistant is ready for mobile. ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​ ͏​,newsletters,remove
19ad51224ec04565,Google Fitbit <noreply@e.fitbit.com>,Welcome to Premium sleep sessions,"Try guided sleep programs, audio tracks &amp; much more. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌",newsletters,remove
19ace5eb2bcf0e53,Support at TripIt <support@tripit.com>,"Avi, your plans for Emailing Hotel Voucher.pdf have been added to TripIt!",TripIt Your plans are ready! We got your email and added it to your account. Here&#39;s the email from avi.levi99@gmail.com: &quot;Emailing Hotel Voucher.pdf&quot; View Plans Don&#39;t forget to send,notifications,remove
19abd5bc3cc11891,Jeremy from Peak Design <peakdesign@stellaconnect.net>,How was your email with Jeremy?,You recently emailed with: Jeremy. Peak Design . Customer Support. How satisfied are you with the service you received from Jeremy today? You recently emailed with: Jeremy Peak Design Customer Support,notifications,remove
19abaab0e8ef3acd,Grab <no-reply@grab.com>,Say hello to GrabCoins,Earning and saving just got easier. Earning and saving just got easier Learn More GrabRewards is now GrabCoins. Introducing more ways to earn so you can easily enjoy savings from your everyday actions,newsletters,remove
19ab7d893260c687,OpenAI <noreply@email.openai.com>,GPT-5.1 is now live in the OpenAI API,Start building with the newest model ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ,newsletters,remove
19aa7b7e4103381c,Taylor Siu <taylor@onboarding.officehours.com>,Checking in! Consulting request: Chip Design Automation Systems,"Hi Avi, I wanted to follow up on my previous email and share some additional details below! Scope: Our client is running a research project on Chip Design Automation Systems and they are interested in",newsletters,remove
19aa148826177218,Agoda Research <noreply@agoda.com>,We'd love to hear from you! 🤩,"Agoda.com Dear Avi, At Agoda, we&#39;re always looking for ways to make your travel experience even better. To help us improve how we connect with you, we&#39;d appreciate your feedback on our",personal,keep
19a9ccfde39f0e1d,your story info <info@ur-story.com>,Re: פייסבוק לא סופר רכישות נכון,"היי, יש את עניין ״חלון ההמרות״, הוא קיים גם בפייסבוק וגם בגוגל. אם פייסבוק מזהה שמישהי ראתה את המודעות שלו, בטח אם לחצה עליהם ונכנסה לאתר (אבל לא רק), ואז יצאה החוצה ולא רכשה אבל חזרה בטווח זמן של כמה",personal,keep
19a960a3a0132c5b,"""varda.ben-yakov@poalim.co.il"" <varda.ben-yakov@poalim.co.il>",RE: חשבון 510789,"קיבלתי תודה רבה בברכה, From: Avi Levi &lt;avi.levi99@gmail.com&gt; Sent: Tuesday, November 18, 2025 10:13 AM To: ורדה בן יעקב‏ &lt;varda.ben-yakov@poalim.co.il&gt; Cc: רותי דרזנין‏ &lt;ruthi.draznin@",newsletters,remove
19a8970132764951,Strava <mail@update.strava.com>,Updates to Strava’s Terms of Service and Policies,͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ,misc,keep
19a77f30ff43f0e6,Meta for Business <noreply@business.facebook.com>,Action required: You've been invited to join the Nova Fertility business portfolio,You&#39;re invited to join the Nova Fertility business portfolio Nova Fertility is not part of or affiliated with Meta. Only approve requests and invitations from people and businesses that you know,notifications,remove
19a6ea1ba2a1e119,Henry from Praktika <Henry@mailers.praktika.ai>,Let’s ease back in—your lesson can be chill ✨,"Free chat, fun topics, zero pressure. Just start again. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ",newsletters,remove
19a636a21ee09482,Microsoft account team <account-security-noreply@accountprotection.microsoft.com>,Microsoft account password change,"Microsoft account Your password changed Your password for the Microsoft account av**l@protonmail.com was changed on 11/8/2025 12:21 PM (GMT). If this was you, then you can safely ignore this email.",notifications,remove
19a58a0dc073fd40,"""אתר דוקתורים"" <no-reply@doctorim.co.il>",אתר דוקתורים - סיסמתך שונתה,"שלום , ברצוננו לידע אותך כי סיסמתך באתר דוקתורים שונתה. אם שינוי הסיסמה בוצע על ידך, ניתן להתעלם מהודעה זו. במידה ומישהו אחר איפס את סיסמתך ללא ידיעתך, נא לפנות לשירות הלקוחות שלנו. בכבוד רב, אתר",notifications,remove
19a4fe789b2957af,Niantic <noreply@bounce.parents.nianticlabs.com>,Niantic Password Reset,"Hi! We hear you&#39;ve just requested to reset your password to Niantic. Please click on the link below to reset your Niantic password: Reset password Thank you, The Niantic Kids Team Niantic Privacy",notifications,remove
19a358bc4c0166ea,Base44 <no-reply@marketing.base44.com>,The All New Builder is here ✨ + community highlights inside,"New tools, big wins, and expert tricks for your next build. Banner Hey Avi, We&#39;ve got some exciting news! This month, we&#39;re rolling out the all new builder, celebrating our amazing community,",newsletters,remove
19a2b3977d4cd93b,gastropool Reise-Storno-Schutz <erv@gastropool.it>,AW: Confirmation payment Avi Levi - policy number 0K500000009R5L,"Hello, thank you for sending the required documents. We would like to inform you that the processing of your case is expected to take approximately 4 – 6 weeks. We will contact you as soon as the case",finance,keep
19a21ff285ba7fbf,"""taagidimNotReply@justice.gov.il"" <taagidimNotReply@justice.gov.il>",ביטול משכון עקב אי הגשת מספר רישוי 2025309575 [סימוכין 108315793],"שלום רב, הריני להביא בזאת לידיעתך כי 30 הימים הנקובים בתקנות חלפו ולא הומצאו לרשם המשכונות הודעה בדבר מספר הרישוי של הנכס/ים שנתבקשנו לרשום. עקב כך בוטל הרישום של המשכון. מצ&quot;ב מסמך אישור על ביטול",notifications,remove
19a20638fc9f827c,Instagram <security@mail.instagram.com>,Phone number added on Instagram,"Hi avi_levi99, The phone number +972524442069 was added to your Instagram account at 04:59 (PDT) on Sunday, October 26 2025. If you didn&#39;t add a phone number, you can secure your account here. ©",notifications,remove
19a1085a63af9cd4,DHL EXPRESS <NoReply.ODD@dhl.com>,DHL On Demand Delivery,"עברית | English המשלוח שלך נמסר! שלום AVI LEVI, משלוח DHL Express מספר 1261041994 מ-INGRAM MICRO נמסר ב-12:46 בתאריך 23.10.2025. למידע נוסף, לחץ כאן. תודה שהשתמשת ב-On Demand Delivery. פרטי מסירה שטר",receipts,keep
19a0f61da043e26a,"""ביטוח ישיר"" <renew@5555555.co.il>",ביטוח הרכב שלך! [מס' פניה - P-P-373732167],"גישה לאתר ביטוח ישיר אם אינך רואה מייל זה כראוי יש ללחוץ כאן היי אבי , ימים אחרונים לחידוש ביטוח ה סקודה שלך! גם השנה מזמינים אותך לחסוך זמן ולחדש בקליק ולקבל הנחה נוספת בסך 243 ש&quot;ח &gt;&gt;",finance,keep
19a08535efd8e5e6,Zapier Alerts <alerts@mail.zapier.com>,⚠️ Update: Zapier products affected during AWS incident,"We&#39;re following up on an incident that began on October 20, 2025, at 7:00 UTC, which may have affected several Zapier services... ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ",notifications,remove
19a02406d74a463a,Peak Design <peak-design@shipup.co>,Good news! Your Peak Design order is on the way.,Good news! Your Peak Design order is on the way. Congrats Avi! Your Peak Design gear is in the hands of DHL eCommerce and is on its way to you. We&#39;ll keep you updated on every move your package,receipts,keep
199f519adcbd0375,Proton <no-reply@mail.proton.me>,You have 2 new message(s) in your Proton Mail account a***,"Please log in at https://mail.proton.me to check them. [Proton](https://proton.me/) You have 2 new message(s) Hello, You have 2 new message(s) in your inbox and custom folders. Please log in at https:",notifications,remove
199e94e02ef09e98,SavedBy <no-reply@savedbypackageprotection.com>,Your Peak Design Order is Protected!,"SavedBy Logo Peak Design logo Your Peak Design order is covered by SavedBy Package Protection. SavedBy Package Protection safeguards your order from potential theft, damage, and loss. File a Claim You",receipts,keep
199e771c21f3f11b,Cursor <hi@cursor.com>,We're simplifying Cursor billing cycles,"Starting this month, we&#39;re aligning your usage cycles to a single period. The amount you&#39;re charged stays the same, only the timing is changing. How it worked before: Previously, on-demand",newsletters,remove
199ca31133ab803c,Peak Design <reply@s.backerkit.com>,Your payment has been processed for Roller Pro Carry-On Luggage by Peak Design,"Hi Avi Levi, Thanks again for supporting Roller Pro Carry-On Luggage by Peak Design! We successfully charged $11.97 to the credit card you provided for the balance owed on your survey in BackerKit.",receipts,keep
199c148b5a63dc5f,jobs@hunted.co.il,Software Team Leader Position,"Software Team Leader – R&amp;D, Ness Ziona, Israel – Onsite by the train Description The company is developing the next generation of high-performance e-powertrain systems that will change the electri",work,keep
1999b563df2621c0,PledgeBox <none-reply@survey.pledgebox.com>,Shipping Update,"PledgeBox Hi Avi Levi, Here is the shipping status of your pledge on Circular Ring 2: World&#39;s Most Advanced Health Tracking Ring by Circular You can also register on PledgeBox as a backer to check",receipts,keep
